[0;9;-11]	2630.0
[0;9;-10]	2935.0
[0;9;-9]	3208.0
[0;9;-8]	3386.0
[0;9;-7]	3508.0
[0;9;-6]	3955.0
[0;9;-5]	4534.0
[0;9;-4]	5362.0
[0;9;-3]	7206.0
[0;9;-2]	9095.0
[0;9;-1]	13835.0
[0;9;0]	29159.0
[0;9;1]	21488.0
[0;9;2]	18295.0
[0;9;3]	13375.0
[0;9;4]	9310.0
[0;9;5]	6693.0
[0;9;6]	5461.0
[0;9;7]	4348.0
[0;9;8]	3507.0
[0;9;9]	3128.0
[0;9;10]	2980.0
[0;9;11]	2985.0
[0;9;12]	2976.0
[0;10;-12]	2665.0
[0;10;-11]	2953.0
[0;10;-10]	3208.0
[0;10;-9]	3417.0
[0;10;-8]	3510.0
[0;10;-7]	3777.0
[0;10;-6]	4041.0
[0;10;-5]	4948.0
[0;10;-4]	5895.0
[0;10;-3]	7840.0
[0;10;-2]	9701.0
[0;10;-1]	24566.0
[0;10;0]	29159.0
[0;10;1]	31868.0
[0;10;2]	19670.0
[0;10;3]	14663.0
[0;10;4]	11139.0
[0;10;5]	7892.0
[0;10;6]	6370.0
[0;10;7]	5121.0
[0;10;8]	4188.0
[0;10;9]	3492.0
[0;10;10]	3128.0
[0;10;11]	2961.0
[0;10;12]	2984.0
[0;11;-12]	2970.0
[0;11;-11]	3208.0
[0;11;-10]	3406.0
[0;11;-9]	3512.0
[0;11;-8]	3665.0
[0;11;-7]	3880.0
[0;11;-6]	4632.0
[0;11;-5]	5291.0
[0;11;-4]	6637.0
[0;11;-3]	8039.0
[0;11;-2]	10301.0
[0;11;-1]	24869.0
[0;11;0]	29159.0
[0;11;1]	32084.0
[0;11;2]	20429.0
[0;11;3]	15835.0
[0;11;4]	12359.0
[0;11;5]	8964.0
[0;11;6]	6988.0
[0;11;7]	5886.0
[0;11;8]	4833.0
[0;11;9]	4016.0
[0;11;10]	3462.0
[0;11;11]	3128.0
[0;11;12]	2983.0
[0;12;-12]	3208.0
[0;12;-11]	3380.0
[0;12;-10]	3432.0
[0;12;-9]	3569.0
[0;12;-8]	3955.0
[0;12;-7]	4154.0
[0;12;-6]	4948.0
[0;12;-5]	5646.0
[0;12;-4]	7206.0
[0;12;-3]	8342.0
[0;12;-2]	10737.0
[0;12;-1]	25189.0
[0;12;0]	29159.0
[0;12;1]	31975.0
[0;12;2]	20958.0
[0;12;3]	16949.0
[0;12;4]	13375.0
[0;12;5]	10367.0
[0;12;6]	7892.0
[0;12;7]	6432.0
[0;12;8]	5461.0
[0;12;9]	4666.0
[0;12;10]	3867.0
[0;12;11]	3423.0
[0;12;12]	3128.0
[1;-12;-12]	3445.0
[1;-12;-11]	4430.0
[1;-12;-10]	5003.0
[1;-12;-9]	6029.0
[1;-12;-8]	6529.0
[1;-12;-7]	7956.0
[1;-12;-6]	9737.0
[1;-12;-5]	12785.0
[1;-12;-4]	15418.0
[1;-12;-3]	19592.0
[1;-12;-2]	21064.0
[1;-12;-1]	30892.0
[1;-12;0]	26565.0
[1;-12;1]	11256.0
[1;-12;2]	9036.0
[1;-12;3]	7117.0
[1;-12;4]	5908.0
[1;-12;5]	5207.0
[1;-12;6]	4293.0
[1;-12;7]	3860.0
[1;-12;8]	3475.0
[1;-12;9]	3347.0
[1;-12;10]	3245.0
[1;-12;11]	3250.0
[1;-12;12]	2900.0
[1;-11;-12]	3191.0
[1;-11;-11]	3605.0
[1;-11;-10]	4546.0
[1;-11;-9]	5145.0
[1;-11;-8]	6129.0
[1;-11;-7]	6993.0
[1;-11;-6]	9062.0
[1;-11;-5]	11932.0
[1;-11;-4]	14259.0
[1;-11;-3]	18692.0
[1;-11;-2]	20914.0
[1;-11;-1]	30843.0
[1;-11;0]	26393.0
[1;-11;1]	11037.0
[1;-11;2]	8649.0
[1;-11;3]	6475.0
[1;-11;4]	5520.0
[1;-11;5]	4711.0
[1;-11;6]	4026.0
[1;-11;7]	3548.0
[1;-11;8]	3373.0
[1;-11;9]	3258.0
[1;-11;10]	3259.0
[1;-11;11]	2862.0
[1;-11;12]	2593.0
[1;-10;-12]	2969.0
[1;-10;-11]	3178.0
[1;-10;-10]	3747.0
[1;-10;-9]	4703.0
