  radius  	  theta   
0.8007643	3.7393679
0.9172467	4.5422194
0.5438600	1.1386528
0.3225961	3.9440950
0.3256531	3.9381609
0.3219989	3.9381609
0.5089760	1.1306243
0.5083169	1.1414453
0.5104051	1.1280063
0.8018677	2.5645344
0.5294281	4.5015532
0.5334345	4.4956191
0.5350835	4.5062656
0.5371732	4.5059165
0.5371732	4.5059165
0.5372182	4.5060911
0.2942212	1.1035717
0.3126145	1.1225958
0.5193254	4.4966663
0.2922310	1.0997320
0.2926099	1.0997320
0.5363526	4.5080109
0.5372182	4.5048693
0.5372182	4.5048693
0.2899591	1.0920525
0.5374881	4.5026004
0.5373081	4.5019023
0.3076402	1.1390019
0.6646878	2.5320713
0.3414603	3.8995891
0.2526675	4.9096286
0.2455310	4.8928037
0.5941107	1.4948745
0.9376676	0.5312782
0.3115898	3.2209702
0.5056841	0.1186126
0.2987687	3.2081770
0.2981129	3.2106204
0.5124969	0.0977908
0.3091119	3.1886991
0.3047958	3.1995725
0.2853293	1.3109168
0.7918658	4.4041638
0.2743196	1.3861405
0.5829957	4.5809657
0.6179984	3.3255504
0.7449020	3.3714525
0.5872832	4.5680503
0.4081942	5.6114604
0.6036314	4.5704937
0.5934733	4.5930085
0.3839642	0.4749041
0.4286315	3.8983674
0.4242380	3.9104102
0.4240732	3.9107593
0.4243512	3.9104102
0.4243512	3.9104102
0.4233012	3.9125046
0.4267734	3.9175660
0.3699112	5.7353265
0.3585442	5.7549963
0.3975339	4.0355503
0.3885472	4.0399136
0.3900848	4.0343286
0.4245778	0.5448918
0.3942331	4.0404372
0.3916743	1.8370812
0.5155419	1.7779320
0.4498375	4.1615631
0.4544727	4.1589451
0.4523160	4.1584215
0.4523160	4.1584215
0.4497745	4.1551054
0.4528207	4.1552799
0.4499004	4.1552799
0.4523055	4.1584215
0.4523160	4.1584215
0.4528207	4.1549308
0.4501838	4.1591196
0.3736858	0.6483898
0.4503832	4.1669736
0.3748797	0.6373942
0.5833465	2.9032156
0.2492817	1.8340792
0.8532962	2.3835787
0.6009794	5.2061426
0.5995549	5.2106805
0.2638940	1.7754885
0.2637167	1.7765706
0.5996735	5.2087432
0.2623171	1.7715616
0.6793442	0.6871361
0.5272402	5.1229428
0.5228985	5.1432759
0.4694988	0.9641199
0.4690729	0.9635963
0.4724843	0.9702285
0.4927115	1.0077531
0.4722708	0.9531243
0.5312618	5.1521072
0.5320453	5.1526308
0.3615410	4.4662976
0.5288025	5.1435726
0.5259026	5.1426825
0.5230096	5.1482850
0.5251231	5.1529974
0.4885971	1.0037389
0.5253457	5.1547252
0.2910947	1.7341923
0.5483917	5.9887308
0.5551079	5.9793409
0.3437518	3.4246851
0.3300699	3.4534830
0.5260140	5.9816971
0.3399507	3.4262559
0.3421620	3.4269540
0.3422498	3.4260813
0.7955784	5.1547427
0.8339673	3.0082320
0.5412620	0.9892526
0.7532804	0.8325221
0.1932666	1.8502934
0.4080415	4.2528438
0.4206386	4.2350414
0.5741201	4.0133846
0.5800529	4.0076250
0.2768359	4.0364230
0.2671824	4.0296162
0.2751830	4.0388664
0.5471438	0.7681194
0.2747137	4.0580650
0.9722029	2.8092296
0.2762441	4.0376447
0.5498683	0.7637561
0.2760750	4.0306634
0.2719845	4.0411354
0.2709726	4.0297907
0.2709913	4.0423571
0.5485053	0.7583456
0.5535108	0.7497934
0.2796001	4.0533527
0.2579474	4.0557961
0.2810214	3.9975021
0.5498456	2.9700617
0.4052449	5.2696028
0.2417869	3.0337662
0.2403372	3.0325794
0.2410111	3.0328063
0.2412605	3.0351974
0.2408265	3.0361050
0.2404203	3.0412362
0.2424983	3.0379026
0.2414452	3.0337488
0.2409742	3.0323699
0.2940410	1.9899197
0.2939273	2.0002520
0.2950084	1.9866385
0.2938230	1.9914730
0.2926384	2.0206200
0.2935955	1.9891517
0.2922878	2.0006709
0.2937566	1.9833398
0.5529409	5.2756416
0.5472572	5.2859042
0.2978564	2.0154190
0.2941643	1.9871970
0.2957484	2.0020323
0.2964318	2.0024686
0.2969066	2.0085249
0.2974099	2.0101306
0.2934249	2.0010200
0.2962230	1.9841776
0.2962610	1.9841252
0.2962610	1.9841077
0.2973339	1.9868130
0.2959003	2.0028002
0.9594850	0.1965241
0.3053013	3.2585821
0.5948193	4.8361520
0.2529368	2.7516163
0.2493465	2.6896746
0.2514424	2.7139521
0.2504591	2.6940728
0.6667910	0.1053655
0.7344387	5.8008810
0.2474657	2.7186296
0.5865792	1.0187487
0.5358583	5.3200428
0.5349151	2.9671819
0.5350049	2.9654715
0.5349712	2.9662569
0.5370158	2.9691890
0.5351284	2.9657158
0.5347019	2.9656111
0.5110983	2.9724179
0.5359481	2.9680895
0.5101412	2.9722084
0.5394581	2.9653144
0.5375218	2.9694159
0.7261959	3.8273325
0.3127103	5.9482217
0.5158512	3.5922367
0.6555040	5.7028633
0.6099954	1.9975293
0.2197728	1.6833055
0.3173532	4.5505970
