  radius  	  theta   
0.7328349	3.8521747
0.7274133	3.8404102
0.7284753	3.8446402
0.7276034	3.8464821
0.7284753	3.8446402
0.7285438	3.8480804
0.7222625	3.8346562
0.7276034	3.8464821
0.7283989	3.8463878
0.7270860	3.8316294
0.7273380	3.8419630
0.7248631	3.8495787
0.7240732	3.8437829
0.4608163	4.9388899
0.7575149	3.8491005
0.2629633	2.9838540
0.7587493	3.8506620
0.2639558	2.9833356
0.2655481	2.9905557
0.7573120	3.8529251
0.2724330	2.9544668
0.9123841	3.0645886
0.6036307	3.2074735
0.5844594	3.2104330
0.7781350	1.4729848
0.7719481	1.4775484
0.7768185	1.4796853
0.5917383	3.1916046
0.7778078	1.4795246
0.7747353	1.4807450
0.7763626	1.4818690
0.7773929	1.4797073
0.7795791	1.4731931
0.7767255	1.4661265
0.3453634	2.6698650
0.6282689	6.2554246
0.8123574	3.5816866
0.8181022	3.5921801
0.8185217	3.5913761
0.8180182	3.5816931
0.8230615	3.5973623
0.8140771	3.5771543
0.8108046	3.5784864
0.8120733	3.5687122
0.8105528	3.5784533
0.8100231	3.5762129
0.8096775	3.5757892
0.6115637	5.2141569
0.5552297	0.4176151
0.8238615	3.9703932
0.1078711	4.9710614
0.7080014	5.1302148
0.7080014	5.1302148
0.7067859	5.1336422
0.6992482	5.1276931
0.6994607	5.1277604
0.7005991	5.1271350
0.6986954	5.1260584
0.6995091	5.1278705
0.6962338	5.1307874
0.7061428	5.1281051
0.6962588	5.1292510
0.7025770	5.1482081
0.7827823	4.2325677
0.4626260	5.1315090
0.4825776	3.4723863
0.4931689	4.2858788
0.8093841	1.6394848
0.7154861	1.6264881
0.2153383	5.6355329
0.7744524	1.6346006
0.8127505	3.1822504
0.8087876	3.1760368
0.8165282	3.1940195
0.8119284	3.1829411
0.8130320	3.1929363
0.8188326	3.1989892
0.8164295	3.1941700
0.5049881	1.1149676
0.5360145	3.6133680
0.8182299	3.1894892
0.8183214	3.1928537
0.8087668	3.1830109
0.8200141	3.1983652
0.8168055	3.1906377
0.8185340	3.1905255
0.8165851	3.1937807
0.8091995	3.1730161
0.8156757	3.1918139
0.8181566	3.1996600
0.8163916	3.1944482
0.5920332	2.2239248
0.4902357	2.5360793
0.4946855	2.5475626
0.4955561	2.5382516
0.4950085	2.5603168
0.4875195	2.5430699
0.6251401	1.1267621
0.9432056	0.5091041
0.9570601	6.1771796
0.9595362	6.1665012
0.9510790	6.1732324
0.9618563	6.1724666
0.3755897	1.1018512
0.3854893	1.0953918
0.3663491	1.0945627
0.9631352	6.1730861
0.3662350	1.0945951
0.9620323	6.1685774
0.9599123	6.1695952
0.9622479	6.1692381
0.9674955	6.1827761
0.9599991	6.1849531
0.9623887	6.1674439
0.9678082	6.1706408
0.9659172	6.1752685
0.9642593	6.1724535
0.9601373	6.1848531
0.9658122	6.1740410
0.9648817	6.1723629
0.9651368	6.1884399
0.9666764	6.1795891
0.9644319	6.1739128
0.9655968	6.1710235
0.3788614	1.1050280
0.9648817	6.1723629
0.9581445	6.1809539
0.9643482	6.1731258
0.5763294	1.5853143
0.5777449	1.5894031
0.5793977	1.5869318
0.5769499	1.5704699
0.5745338	1.5920719
0.2010146	5.4985676
0.9478372	1.0306607
0.9446309	1.0218688
0.9463770	1.0114718
0.9477041	1.0270606
0.9457179	1.0263109
0.9448295	1.0260781
0.1277737	0.8673068
0.2140548	4.7904426
0.9036302	0.3278440
0.3773926	6.1685511
0.9110629	0.3341774
0.9041420	0.3296418
0.9075125	0.3319758
